respondent_id,h1n1_knowledge,behavioral_face_mask,doctor_recc_h1n1,doctor_recc_seasonal,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,income_poverty,household_children,employment_industry,employment_occupation,Y
0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,-1.0,-1.0,4
1,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,12.0,19.0,3
2,1.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,14.0,21.0,4
3,1.0,0.0,0.0,1.0,0.0,-1.0,2.0,2.0,4.0,4.0,3.0,0.0,4.0,1.0,3.0,0.0,0.0,-1.0,-1.0,3
4,1.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,0.0,18.0,5.0,4
5,1.0,0.0,0.0,1.0,0.0,-1.0,4.0,1.0,0.0,4.0,3.0,3.0,4.0,1.0,3.0,1.0,3.0,15.0,18.0,4
6,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,19.0,21.0,4
7,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,12.0,20.0,1
8,2.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0,0.0,19.0,1.0,4
9,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,-1.0,-1.0,4
10,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0,19.0,13.0,1
11,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,19.0,1.0,1
12,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,3.0,0.0,4.0,3.0,3.0,1.0,0.0,-1.0,-1.0,3
13,1.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,6.0,9.0,4
14,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,-1.0,-1.0,4
15,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,18.0,5.0,4
16,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,4.0,1.0,3.0,1.0,0.0,-1.0,-1.0,1
17,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,14.0,21.0,4
18,2.0,0.0,1.0,1.0,0.0,-1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,0.0,17.0,19.0,4
19,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,-1.0,-1.0,4
20,1.0,1.0,1.0,1.0,0.0,-1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,-1.0,-1.0,4
21,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,6.0,10.0,3
22,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,18.0,5.0,4
23,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,4
24,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,4
25,2.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,18.0,5.0,4
26,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,-1.0,2.0,6.0,7.0,1
27,2.0,0.0,0.0,0.0,0.0,-1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,0.0,-1.0,-1.0,4
28,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,-1.0,-1.0,4
29,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,3.0,4.0,-1.0,3.0,1.0,0.0,-1.0,-1.0,4
30,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,10.0,21.0,4
31,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,-1.0,0.0,-1.0,-1.0,2
32,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,-1.0,-1.0,3
33,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1.0,0.0,-1.0,-1.0,2
34,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,18.0,0.0,1
35,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1
36,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,12.0,19.0,3
37,1.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,6.0,16.0,4
38,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,-1.0,0.0,-1.0,-1.0,1
39,1.0,0.0,0.0,0.0,0.0,-1.0,4.0,3.0,1.0,4.0,3.0,1.0,4.0,0.0,3.0,-1.0,0.0,12.0,19.0,3
40,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,19.0,13.0,4
41,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0,1
42,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,3.0,2.0,0.0,4.0,3.0,1.0,3.0,1.0,0.0,15.0,18.0,4
43,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,2.0,1.0,-1.0,-1.0,1
44,2.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,16.0,21.0,4
45,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,3.0,3.0,4.0,0.0,2.0,3.0,2.0,1.0,16.0,10.0,4
46,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,-1.0,-1.0,1
47,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,16.0,21.0,2
48,2.0,1.0,0.0,0.0,0.0,-1.0,4.0,3.0,0.0,4.0,4.0,0.0,2.0,3.0,3.0,1.0,0.0,18.0,5.0,1
49,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,-1.0,-1.0,1
50,2.0,0.0,0.0,0.0,1.0,-1.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,4.0,6.0,4
51,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,18.0,5.0,3
52,1.0,0.0,0.0,0.0,0.0,-1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,4.0,4
53,2.0,0.0,0.0,0.0,1.0,-1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,-1.0,-1.0,3
54,1.0,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,-1.0,1.0,-1.0,-1.0,4
55,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,19.0,13.0,4
56,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,20.0,3
57,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,-1.0,0.0,19.0,13.0,1
58,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,18.0,5.0,4
59,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,-1.0,-1.0,3
60,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,7.0,1
61,2.0,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,9.0,21.0,3
62,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,-1.0,-1.0,4
63,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,-1.0,1.0,-1.0,-1.0,3
64,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,4
65,1.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,4
66,1.0,0.0,0.0,0.0,0.0,-1.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,4
67,2.0,0.0,1.0,1.0,0.0,-1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,4.0,0.0,1
68,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,-1.0,3.0,-1.0,0.0,-1.0,-1.0,3
69,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,-1.0,-1.0,4
70,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,4.0,0.0,3.0,3.0,1.0,1.0,20.0,10.0,4
71,1.0,0.0,0.0,1.0,0.0,-1.0,4.0,3.0,3.0,4.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,-1.0,-1.0,3
72,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,-1.0,-1.0,3
73,2.0,0.0,0.0,0.0,0.0,-1.0,4.0,1.0,3.0,4.0,4.0,0.0,4.0,3.0,3.0,1.0,0.0,-1.0,-1.0,3
74,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,4.0,4.0,0.0,2.0,3.0,0.0,0.0,-1.0,-1.0,1
75,1.0,0.0,1.0,1.0,0.0,-1.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,-1.0,3.0,-1.0,2.0,-1.0,-1.0,1
76,1.0,0.0,-1.0,-1.0,0.0,-1.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,0.0,6.0,22.0,4
77,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,11.0,3
78,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,1.0,0.0,4.0,3.0,3.0,-1.0,0.0,-1.0,-1.0,3
79,1.0,0.0,0.0,0.0,0.0,-1.0,4.0,3.0,1.0,4.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,19.0,21.0,3
80,1.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,20.0,14.0,4
81,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,4.0,11.0,3
82,2.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,12.0,2.0,1
83,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,10.0,3
84,2.0,1.0,0.0,0.0,1.0,-1.0,4.0,3.0,0.0,4.0,3.0,0.0,4.0,1.0,3.0,-1.0,0.0,-1.0,-1.0,3
